PERIODO,MES,COD_TIPO_OPERACION,COD_REGION_ORIGEN,COD_VIA_TRANSPORTE,COD_PUERTO_EMBARQUE,COD_PAIS_DESTINO,ITEM_SA,FOB_US_DUSLEG,FOBUS_AJUSTADO_IVV,PESO_BRUTO_KG,CANTIDAD_MERCANCIA,COD_UNIDAD_MEDIDA
2025,1,200,3,1,905,333,74031100,"989869,88","986058,05",110656,110568,6
2025,1,200,3,1,908,333,74031100,"16525214,41","16474078,53",1848754,1847260,6
2025,1,200,6,1,207,225,74031100,"8891665,57","9017572,5",1000132,999358,6
2025,1,200,6,1,207,336,74031100,"4514937,45","4501657,42",501176,500760,6
2025,1,200,13,1,207,336,74031100,"5274262,39","5269220,51",595584,595024,6
2025,1,200,13,1,207,317,26131010,"9176979,63","8872171,23",327808,320000,6
2025,1,200,13,1,903,220,26131010,2241286,"2234453,28",81952,80000,6
2025,1,200,13,1,903,514,26139010,"10825754,96","10200646,81","510931,4","507662,5",6
2025,1,200,13,7,998,220,26131010,"3389717,18","3296470,17",120240,120000,6
2025,1,201,0,1,207,336,28369130,222,222,"114,33",111,6
2025,1,201,0,1,207,336,28369140,18,18,"9,27",9,6
2025,1,201,0,1,207,333,28369130,70,70,"36,05",35,6
2025,1,201,0,1,905,336,28369130,58,58,"29,87",29,6
2025,1,201,0,1,905,336,28369140,2,2,"1,03",1,6
2025,1,201,0,1,905,333,28369130,30,30,"15,45",15,6
2025,1,200,3,1,917,225,74031100,"9137809,09","9430564,4",1012925,1012199,6
2025,1,200,3,1,917,225,74031100,"27177177,37","27290981,79",3014051,3011975,6
2025,1,200,3,1,917,336,26030000,"22615493,57","22194976,4",10956480,10956480,6
2025,1,200,3,1,917,330,26030000,"10597060,97","8313395,54",10255000,10255000,6
2025,1,200,3,1,918,336,26030000,"164435486,14","166173970,22",63756110,63756110,6
2025,1,200,3,1,918,336,26011110,"67618818,45","70867013,42",785274000,785270036,6
2025,1,200,3,1,918,331,26030000,"27606872,15","31320309,98",10451360,10451360,6
2025,1,200,3,1,920,336,26011110,"9847724,39","9584611,06",102871000,102871000,6
2025,1,200,3,1,920,313,26011110,"13613800,23","17488759,01",175180000,175180000,6
2025,1,200,3,1,920,124,26011110,"15685891,84","15685891,84",154000000,154000000,6
2025,1,200,4,1,199,336,26030000,"26470654,81","28751316,33",11500410,11500410,6
2025,1,200,4,1,199,336,26030000,"206840391,15","210635644,67",90296640,90296640,6
2025,1,200,4,1,199,331,26030000,"74472402,93","79159165,22",34499190,34499190,6
2025,1,200,4,1,199,317,26030000,"75005757,04","76249904,86",34500290,34500290,6
2025,1,200,4,1,904,336,26030000,"20072585,24","20296905,32",11582100,11582100,6
2025,1,200,4,1,904,563,26030000,"23627066,86","25516883,81",10796400,10796400,6
2025,1,200,4,1,946,336,26011110,"11563848,87","12170158,14",138689000,138688409,6
2025,1,200,5,1,904,336,26030000,"21067864,07","19855913,59",10504830,10504830,6
2025,1,200,1,7,965,224,28342100,"191527,98","191527,98",221352,220800,6
2025,1,200,2,7,965,224,28342100,"21142,7","21142,7",14648,14300,6
2025,1,200,2,7,965,224,28342100,"27586,9","27586,9",27965,27300,6
2025,1,200,2,7,965,223,28342100,13515,13424,11811,11500,6
2025,1,200,13,7,965,224,28012000,256890,256890,3123,3000,6
2025,1,200,13,7,965,224,71069200,"11218,69","11218,69","66,73",50,6
2025,1,200,13,7,965,224,28342100,"3099,21","3099,21","528,05","501,4",6
2025,1,200,13,7,965,224,71069200,"28654,8","28654,8","252,65",230,6
2025,1,200,13,7,965,220,26131010,"1380768,14","1380768,14",48096,48000,6
2025,1,200,1,1,905,317,28012000,"1635562,77","1635562,77",25154,24000,6
2025,1,200,1,1,905,515,28012000,4771018,4771018,77926,74040,6
2025,1,200,2,1,905,405,28012000,"583765,04","583765,04",8708,8400,6
2025,1,200,5,1,905,330,74031100,"920033,29","917296,39",101556,101442,6
2025,1,200,5,1,905,330,74031100,"17720624,83","17946608,48",2000913,2000046,6
2025,1,200,5,1,948,336,26030000,"21176693,64","20311995,12",10558610,10558610,6
2025,1,200,5,1,948,336,26030000,"135739826,82","134494446,5",74080080,74080080,6
2025,1,200,5,1,948,336,26030000,"17617549,01","16062428,74",10556200,10556200,6
2025,1,200,5,1,948,336,26030000,"22419957,91","23365612,6",10552940,10552940,6
2025,1,200,5,1,948,331,26030000,"29256473,53","29784743,92",21997340,21997340,6
2025,1,200,5,1,948,563,26030000,"12987320,74","11900831,1",5428290,5428290,6
2025,1,200,13,1,905,514,26139010,"4913636,66","4737478,95","241557,6","237931,6",6
2025,1,200,1,1,906,225,28012000,"1529907,6","1529907,6",23931,22920,6
2025,1,200,1,1,906,216,28012000,"2834246,76","2834246,76",42232,40000,6
2025,1,200,1,1,906,505,28012000,744600,791010,"10709,4",10200,6
2025,1,200,1,1,906,515,28012000,1399555,1399555,22819,21600,6
2025,1,200,2,1,906,225,28012000,"1980681,76","1980681,76",29796,28800,6
2025,1,200,2,1,906,216,28012000,1576800,1592352,"23283,2",21600,6
2025,1,200,2,1,906,220,74031100,"2277048,28","2268979,25",252121,251921,6
2025,1,200,2,1,906,336,26030000,"342646,2","363182,51",207310,207310,6
2025,1,200,2,1,906,336,26030000,"2011003,15","2131531,52",1216710,1216710,6
2025,1,200,2,1,906,329,26030000,"834206,34","834790,17",330535,309127,6
2025,1,200,2,1,906,515,26131010,"3255679,41","3270345,78",122688,120000,6
2025,1,200,3,1,906,220,74031100,"11938667,89","12014630,17",1287516,1286917,6
2025,1,200,3,1,906,336,74031100,"4920556,47","5010168,18",546685,536513,6
2025,1,200,3,1,906,336,26030000,"1707506,89","2190959,54",722760,722760,6
2025,1,200,3,1,906,333,74031100,"4523541,44","4730889,26",506323,506072,6
2025,1,200,3,1,906,330,74031100,"765217,29","744370,23",82774,82733,6
2025,1,200,4,1,906,225,26139010,"3360025,34","3124551,9","158999,2","156605,2",6
2025,1,200,4,1,906,514,26139010,"3550378,85","3241017,83","157369,3","154975,3",6
2025,1,200,4,1,906,336,26030000,"848843,25",817641,409510,409510,6
2025,1,200,4,1,906,336,26030000,"6176951,37","6184233,16",2829560,2829560,6
2025,1,200,4,1,906,333,26139010,"9351910,28","7586408,7","367766,6","362180,6",6
2025,1,200,4,1,906,330,26030000,"8044449,08","8821349,97",5970160,5970160,6
2025,1,200,4,1,906,319,26139010,"3411802,1","3186325,52","157473,4","155079,4",6
2025,1,200,4,1,906,515,26139010,"2207463,62","2094486,42","104710,2","103114,2",6
2025,1,200,5,1,906,225,74031100,"11728433,56","11859963,11",1300545,1299992,6
2025,1,200,5,1,906,220,74031100,"43686309,25","43693791,85",4801661,4799578,6
2025,1,200,5,1,906,220,26131010,"1617542,2","1642681,89",61524,60000,6
2025,1,200,5,1,906,220,74031100,"5720788,18","5896108,13",650282,649994,6
2025,1,200,5,1,906,220,74031100,"6310888,17",6329891,700242,699932,6
2025,1,200,5,1,906,220,74031100,"3959338,7","4080704,63",450158,449961,6
2025,1,200,5,1,906,220,74031100,"37188507,66","37121426,61",4101642,4099840,6
2025,1,200,5,1,906,220,74031100,"8790468,3","9060168,51",1000345,999906,6
2025,1,200,5,1,906,336,74031100,"15352254,42","15254146,93",1707007,1706246,6
2025,1,200,5,1,906,336,26030000,"20905046,23","21362290,32",10799850,10799850,6
2025,1,200,5,1,906,336,74020012,"18783518,07","19308865,21",2000462,1999422,6
2025,1,200,5,1,906,336,74020012,"9756323,58","9958684,43",1000172,999623,6
2025,1,200,5,1,906,333,74031100,"2627270,98","2791896,69",299889,299752,6
2025,1,200,5,1,906,333,74031100,"8809258,39","9323439,79",1000384,999946,6
2025,1,200,5,1,906,331,26131010,"1673388,38","1673388,38",61524,60000,6
2025,1,200,5,1,906,331,26131010,"2773203,25","2773203,25",103146,100000,6
2025,1,200,5,1,906,331,26131010,"2256060,11","2256060,1",82638,80000,6
2025,1,200,5,1,906,331,26131010,"1680695,15","1674991,71",62736,60000,6
2025,1,200,5,1,906,331,26131010,"6151116,62","6142994,22",232254,220000,6
2025,1,200,5,1,906,331,26131010,"573440,95","573440,95",21114,20000,6
2025,1,200,5,1,906,319,74031100,"3620523,24","3634950,37",402435,401982,6
2025,1,200,5,1,906,504,74031100,"8957813,73","9092296,15",1000405,999969,6
2025,1,200,5,1,906,504,26131010,"746876,67","1556386,05",61524,60000,6
2025,1,200,5,1,906,515,74031100,"4606198,12","4704802,45",500158,499935,6
2025,1,200,5,1,906,515,74031100,"1762392,22","1799171,93",199459,199366,6
2025,1,200,5,1,906,511,74031100,"9277438,42","9632566,47",1000416,999984,6
2025,1,200,6,1,906,563,26030000,"12116371,84","14261774,19",5511260,5511260,6
2025,1,200,13,1,906,225,26131010,"580823,61","596568,61",20488,20000,6
2025,1,200,13,1,906,225,28417010,"1045898,21","1138074,6","40882,1",39958,6
2025,1,200,13,1,906,225,74031100,"1810240,59","1790887,08",201236,201080,6
2025,1,200,13,1,906,225,26131010,"634661,85","614251,49","20002,07","19958,07",6
2025,1,200,13,1,906,202,74031300,"759302,16","759302,16",74520,74520,6
2025,1,200,13,1,906,220,28417010,"590205,21","590205,21",20440,20000,6
2025,1,200,13,1,906,336,74031100,"1554726,67","1554726,67",175513,175303,6
2025,1,200,13,1,906,336,74020011,"965171,85","1045510,43",104938,104860,6
2025,1,200,13,1,906,336,74020019,"23610824,68","23649592,51",2512246,2510680,6
2025,1,200,13,1,906,336,74031100,"899111,11","889436,86",100592,100514,6
2025,1,200,13,1,906,336,74031900,196861,196861,24182,24182,6
2025,1,200,13,1,906,336,26030000,"5034837,24","4725989,92",4390943,4390943,6
2025,1,200,13,1,906,336,26030000,"54808,79","54808,79",49920,46937,6
2025,1,200,13,1,906,336,74031100,"13510613,5","13465393,23",1506814,1505646,6
2025,1,200,13,1,906,336,26139010,"2227068,33","2169658,85",356137,"355276,5",6
2025,1,200,13,1,906,333,28417010,"219757,33","219757,33",8124,7500,6
2025,1,200,13,1,906,333,74020019,"31151622,46","31854543,53",3326167,3324190,6
2025,1,200,13,1,906,333,74031100,"2696205,71","2716066,25",301826,301592,6
2025,1,200,13,1,906,330,74031100,"6251235,91","6428425,06",704550,704004,6
2025,1,200,13,1,906,317,26131010,"1090876,8","1054277,07",40080,40000,6
2025,1,200,13,1,906,517,28417010,"146084,75","142511,89",5170,5000,6
2025,1,200,13,1,906,514,26139010,"10901979,08","11124447,55","510006,5","499689,2",6
2025,1,200,13,1,906,515,26139010,"995860,35","993806,24","48240,8","47463,8",6
2025,1,200,13,1,906,515,26131010,"3062236,01","2891494,49","114844,8",112000,6
2025,1,200,13,1,906,563,28417010,"565746,19","536510,08",20592,20000,6
2025,1,201,0,1,906,225,28012000,5,5,"1,9","0,3",6
2025,1,200,2,4,992,225,71069111,"26202837,02","26202837,04",27146,"26606,965",6
2025,1,200,2,4,992,225,71069111,"4571973,39","4571973,4",4708,"4613,514",6
2025,1,200,2,4,992,331,28252011,"123,89","123,89","18,6",13,6
2025,1,200,2,4,992,508,71081219,"9853198,81","10454478,8",3705,"3468,53",6
2025,1,200,3,4,992,226,71081219,"14652856,1","14652856,1","2771,51","2514,354",6
2025,1,200,3,4,992,226,71081219,"49349987,19","49184512,32","7436,04","6834,787",6
2025,1,200,3,4,992,226,71081219,"17656877,25","17656877,25","1619,87","1483,465",6
2025,1,200,3,4,992,317,71081219,"32106340,12","31868667,6",2210,"1743,4",6
2025,1,200,3,4,992,508,71081219,"22987750,29","24732937,17","3613,11","3338,583",6
