MINE_NAME,MINE_IDX,MINE_TYPE,MINE_STATUS,MINE_LAT,MINE_LON,MINE_REGION,MINE_OPERATOR,PLANT_NAME,PLANT_IDX,PLANT_TYPE,PLANT_STATUS,PLANT_LAT,PLANT_LON,PLANT_OPERATOR,PLANT_OWNER,PLANT_CAPACITY,PLANT_CAPACITY_UNITS,SHARED_COMMODITIES,DISTANCE_KM,PRODUCT_FORM
Barreal Seco,11.0,Mine (active),Active,-25.92199999999997,-70.05499999999995,Antofagasta,,Potrerillos SX-EW refinery and smelter,435.0,Smelter,Active,-26.283,-69.5965,Corporación Nacional del Cobre (CODELCO),"Government, 100%",70,tmt,Copper,60.9,cathode_sxew
Barreal Seco,11.0,Mine (active),Active,-25.92199999999997,-70.05499999999995,Antofagasta,,Osvaldo Martínez,370.0,Processing Plant,Active,-26.4196,-70.3172,Empresa Nacional de Minería (ENAMI),"Government, 100%",180,tmt,Copper,61.2,concentrate
Barreal Seco,11.0,Mine (active),Active,-25.92199999999997,-70.05499999999995,Antofagasta,,José Antonio Moreno,335.0,Processing Plant,Active,-25.3963,-70.4742,Empresa Nacional de Minería (ENAMI),"Government, 100%",180,tmt,Copper,72.0,concentrate
Barreal Seco,11.0,Mine (active),Active,-25.92199999999997,-70.05499999999995,Antofagasta,,Mantoverde SX-EW plant,351.0,SX-EW Plant,Active,-26.5615,-70.3253,Empresa Minera de Mantos Blancos S.A. ,"Anglo American plc, 99.9%, and other private, 0.1%",65,tmt,Copper,76.0,cathode_sxew
Berta,12.0,Prospect/Project,Prospect/Project,-26.71799999999996,-70.05599999999998,Atacama,Minera Pacífico Ltda.,Mantoverde SX-EW plant,351.0,SX-EW Plant,Active,-26.5615,-70.3253,Empresa Minera de Mantos Blancos S.A. ,"Anglo American plc, 99.9%, and other private, 0.1%",65,tmt,Copper,31.9,cathode_sxew
Berta,12.0,Prospect/Project,Prospect/Project,-26.71799999999996,-70.05599999999998,Atacama,Minera Pacífico Ltda.,Osvaldo Martínez,370.0,Processing Plant,Active,-26.4196,-70.3172,Empresa Nacional de Minería (ENAMI),"Government, 100%",180,tmt,Copper,42.1,concentrate
Berta,12.0,Prospect/Project,Prospect/Project,-26.71799999999996,-70.05599999999998,Atacama,Minera Pacífico Ltda.,Potrerillos SX-EW refinery and smelter,435.0,Smelter,Active,-26.283,-69.5965,Corporación Nacional del Cobre (CODELCO),"Government, 100%",70,tmt,Copper,66.6,cathode_sxew
Berta,12.0,Prospect/Project,Prospect/Project,-26.71799999999996,-70.05599999999998,Atacama,Minera Pacífico Ltda.,Manuel Antonio Matta,352.0,Processing Plant,Active,-27.4131,-70.2517,Empresa Nacional de Minería (ENAMI),"Government, 100%",180,tmt,Copper,79.7,concentrate
Berta,12.0,Prospect/Project,Prospect/Project,-26.71799999999996,-70.05599999999998,Atacama,Minera Pacífico Ltda.,Hernán Videla Lira smelter (anodes and blister),331.0,Smelter,Active,-27.4198,-70.2577,Empresa Nacional de Minería (ENAMI),"Government, 100%",340,tmt,Copper,80.6,blister
Berta,12.0,Prospect/Project,Prospect/Project,-26.71799999999996,-70.05599999999998,Atacama,Minera Pacífico Ltda.,Biocobre refinery,274.0,Refinery,Active,-27.5734,-70.2484,Sociedad Punta del Cobre S.A (Pucobre),Sociedad Punta del Cobre S.A (Pucobre) (100%),,,Copper,97.0,cathode_er
Berta,12.0,Prospect/Project,Prospect/Project,-26.71799999999996,-70.05599999999998,Atacama,Minera Pacífico Ltda.,Franke SX-EW Plant,324.0,SX-EW Plant,Active,-25.8334,-69.8639,Sociedad Contractual Minera Franke ,"KGHM International Ltd., 100%",,,Copper,100.2,cathode_sxew
Bornita,14.0,Prospect/Project,Prospect/Project,-30.90599999999995,-70.39199999999994,Coquimbo,,SX-EW plant,447.0,SX-EW Plant,Active,-30.261,-71.0917,Compañía Minera Carmen de Andacollo ,"Teck Cominco Ltd., 90%, and Empresa Nacional de Minería (ENAMI) (Government, 100%), 10%",22,tmt,Copper,98.1,cathode_sxew
Bornita,14.0,Prospect/Project,Prospect/Project,-30.90599999999995,-70.39199999999994,Coquimbo,,Los Pelambres plant,346.0,Processing Plant,Active,-31.8134,-70.5823,Antofagasta plc,"Antofagasta plc, 60%; JX Nippon Mining Metals Corp, 15%; Mitsubishi Materials Corp., 10%; Marubeni Corp., 8.75%; Mitsubishi Corp., 5%; Mitsui & Co. Ltd., 1.25%","12,500",mt,Molybdenum,102.5,concentrate
Bornita,14.0,Prospect/Project,Prospect/Project,-30.90599999999995,-70.39199999999994,Coquimbo,,Tres Valles SX-EW plant,451.0,SX-EW Plant,Active,-31.7364,-71.0165,Vecchiola SA,Vecchiola SA,,,Copper,109.7,cathode_sxew
Bornita,14.0,Prospect/Project,Prospect/Project,-30.90599999999995,-70.39199999999994,Coquimbo,,Plant near Coquimbo (Region IV),415.0,Processing Plant,Active,-29.8353,-71.1035,Compañía Minera San Gerónimo,Compañía Minera San Gerónimo,"10,000",mt,Copper,137.2,concentrate
Brujulina,16.0,Prospect/Project,Prospect/Project,-21.93599999999998,-68.86099999999993,Antofagasta,,Al Elbra SX-EW plant,268.0,SX-EW Plant,Active,-21.9859,-68.6886,Sociedad Contractual Minera El Abra ,"Freeport-McMoRan Copper & Gold Inc., 51%, and Corporación Nacional del Cobre (CODELCO) (Government, 100%), 49%",225,tmt,Copper,18.6,cathode_sxew
Brujulina,16.0,Prospect/Project,Prospect/Project,-21.93599999999998,-68.86099999999993,Antofagasta,,Radomiro Tomic SX-EW plant,441.0,SX-EW Plant,Active,-22.1927,-68.8674,Corporación Nacional del Cobre (CODELCO),"Government, 100%",480,tmt,Copper,28.6,cathode_sxew
Brujulina,16.0,Prospect/Project,Prospect/Project,-21.93599999999998,-68.86099999999993,Antofagasta,,Chuquicamata Mine (plant to acid-leach fine copper),290.0,Processing Plant,Active,-22.3013,-68.8404,EcoMetales Ltd. ,"Codelco Technologies Ltd., 100%",25,tmt,Copper,40.7,cathode_sxew
Brujulina,16.0,Prospect/Project,Prospect/Project,-21.93599999999998,-68.86099999999993,Antofagasta,,Chuquicamata SX-EW plant (oxide) and smelter,292.0,Smelter,Active,-22.3137,-68.8895,Corporación Nacional del Cobre (CODELCO),"Government, 100%",450,tmt,Copper,42.1,cathode_sxew
