FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM
Escalones,mine,-34.12099999999998,-69.96499999999997,"Caletones smelter (anodes). refinery (fire-refined ingots), and SX-EW plant",smelter,-34.1046,-70.4505,mine_to_smelter,gold_refined,Gold,44.7
Escalones,mine,-34.12099999999998,-69.96499999999997,"Caletones smelter (anodes). refinery (fire-refined ingots), and SX-EW plant",smelter,-34.1046,-70.4505,mine_to_smelter,silver_refined,Silver,44.7
Exploradora,mine,-25.805999999999983,-69.23699999999997,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,gold_refined,Gold,64.1
Fenix,mine,-27.010999999999967,-69.20299999999997,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,gold_refined,Gold,89.9
Frontera,mine,-31.728999999999928,-70.47799999999995,Chagres smelter (anodes and blister),smelter,-32.804,-70.9561,mine_to_smelter,gold_refined,Gold,127.7
Guanaco,mine,-25.108888999999976,-69.55694399999999,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,gold_refined,Gold,130.6
Guanaco,mine,-25.108888999999976,-69.55694399999999,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,silver_refined,Silver,130.6
Inesperada,mine,-25.146999999999935,-69.60299999999995,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,gold_refined,Gold,126.3
Inesperada,mine,-25.146999999999935,-69.60299999999995,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,silver_refined,Silver,126.3
La Coipa,mine,-26.83499999999998,-69.25249999999994,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,gold_refined,Gold,70.3
La Coipa,mine,-26.83499999999998,-69.25249999999994,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,silver_refined,Silver,70.3
La Fortuna,mine,-28.63399999999996,-69.88399999999996,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,gold_refined,Gold,123.2
La Fortuna,mine,-28.63399999999996,-69.88399999999996,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,silver_refined,Silver,123.2
La Pepa,mine,-27.285999999999945,-69.23899999999998,Hernán Videla Lira smelter,smelter,-27.4198,-70.2577,mine_to_smelter,gold_refined,Gold,101.7
Llahuín,mine,-31.333999999999943,-71.02099999999996,Chagres smelter (anodes and blister),smelter,-32.804,-70.9561,mine_to_smelter,gold_refined,Gold,163.6
Lobo-Marte,mine,-27.16666699999996,-69.03333299999997,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,gold_refined,Gold,113.1
Loica,mine,-31.063999999999965,-70.66099999999994,Chagres smelter (anodes and blister),smelter,-32.804,-70.9561,mine_to_smelter,gold_refined,Gold,195.5
Los Helados,mine,-28.34099999999995,-69.58599999999996,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,gold_refined,Gold,107.3
Los Helados,mine,-28.34099999999995,-69.58599999999996,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,silver_refined,Silver,107.3
Los Pelambres,mine,-31.714999999999975,-70.49899999999997,Chagres smelter (anodes and blister),smelter,-32.804,-70.9561,mine_to_smelter,gold_refined,Gold,128.5
Mantos Blancos,mine,-23.42199999999997,-70.07199999999995,Altonorte smelter,smelter,-23.8247,-70.3178,mine_to_smelter,silver_refined,Silver,51.3
